"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat quinquennal","Nombre"
2008,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","30-34 anys",111
2008,8,"Nou Barris",45,"Porta","Dona","30-34 anys",111
2008,8,"Nou Barris",46,"el Turó de la Peira","Dona","30-34 anys",46
2008,8,"Nou Barris",47,"Can Peguera","Dona","30-34 anys",12
2008,8,"Nou Barris",48,"la Guineueta","Dona","30-34 anys",47
2008,8,"Nou Barris",49,"Canyelles","Dona","30-34 anys",8
2008,8,"Nou Barris",50,"les Roquetes","Dona","30-34 anys",61
2008,8,"Nou Barris",51,"Verdun","Dona","30-34 anys",65
2008,8,"Nou Barris",52,"la Prosperitat","Dona","30-34 anys",89
2008,8,"Nou Barris",53,"la Trinitat Nova","Dona","30-34 anys",23
2008,8,"Nou Barris",54,"Torre Baró","Dona","30-34 anys",3
2008,8,"Nou Barris",55,"Ciutat Meridiana","Dona","30-34 anys",30
2008,8,"Nou Barris",56,"Vallbona","Dona","30-34 anys",14
2008,9,"Sant Andreu",57,"la Trinitat Vella","Dona","30-34 anys",41
2008,9,"Sant Andreu",58,"Baró de Viver","Dona","30-34 anys",21
2008,9,"Sant Andreu",59,"el Bon Pastor","Dona","30-34 anys",47
2008,9,"Sant Andreu",60,"Sant Andreu","Dona","30-34 anys",318
2008,9,"Sant Andreu",61,"la Sagrera","Dona","30-34 anys",135
2008,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","30-34 anys",51
2008,9,"Sant Andreu",63,"Navas","Dona","30-34 anys",93
2008,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","30-34 anys",239
2008,10,"Sant Martí",65,"el Clot","Dona","30-34 anys",136
2008,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","30-34 anys",74
2008,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","30-34 anys",37
2008,10,"Sant Martí",68,"el Poblenou","Dona","30-34 anys",202
2008,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","30-34 anys",79
2008,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","30-34 anys",44
2008,10,"Sant Martí",71,"Provençals del Poblenou","Dona","30-34 anys",89
2008,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","30-34 anys",95
2008,10,"Sant Martí",73,"la Verneda i la Pau","Dona","30-34 anys",74
2008,99,"No consta",99,"No consta","Dona","30-34 anys",1
2008,1,"Ciutat Vella",1,"el Raval","Dona","35-39 anys",251
2008,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","35-39 anys",113
2008,1,"Ciutat Vella",3,"la Barceloneta","Dona","35-39 anys",104
2008,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","35-39 anys",179
2008,2,"Eixample",5,"el Fort Pienc","Dona","35-39 anys",157
2008,2,"Eixample",6,"la Sagrada Família","Dona","35-39 anys",317
2008,2,"Eixample",7,"la Dreta de l'Eixample","Dona","35-39 anys",256
2008,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","35-39 anys",245
2008,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","35-39 anys",293
2008,2,"Eixample",10,"Sant Antoni","Dona","35-39 anys",192
2008,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","35-39 anys",241
2008,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","35-39 anys",1
2008,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","35-39 anys",87
