Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Lloc_procedencia,Nombre
2016,10,Sant Martí,71,Provençals del Poblenou,Castella i Lleó,4
2016,10,Sant Martí,72,Sant Martí de Provençals,Castella i Lleó,9
2016,10,Sant Martí,73,la Verneda i la Pau,Castella i Lleó,10
2016,99,No consta,99,No consta,Castella i Lleó,0
2016,1,Ciutat Vella,1,el Raval,Castella-la Manxa,13
2016,1,Ciutat Vella,2,el Barri Gòtic,Castella-la Manxa,3
2016,1,Ciutat Vella,3,la Barceloneta,Castella-la Manxa,4
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Castella-la Manxa,13
2016,2,Eixample,5,el Fort Pienc,Castella-la Manxa,9
2016,2,Eixample,6,la Sagrada Família,Castella-la Manxa,15
2016,2,Eixample,7,la Dreta de l'Eixample,Castella-la Manxa,12
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Castella-la Manxa,18
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,Castella-la Manxa,17
2016,2,Eixample,10,Sant Antoni,Castella-la Manxa,10
2016,3,Sants-Montjuïc,11,el Poble Sec,Castella-la Manxa,16
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Castella-la Manxa,0
2016,3,Sants-Montjuïc,13,la Marina de Port,Castella-la Manxa,13
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,Castella-la Manxa,3
2016,3,Sants-Montjuïc,15,Hostafrancs,Castella-la Manxa,10
2016,3,Sants-Montjuïc,16,la Bordeta,Castella-la Manxa,2
2016,3,Sants-Montjuïc,17,Sants - Badal,Castella-la Manxa,2
2016,3,Sants-Montjuïc,18,Sants,Castella-la Manxa,9
2016,4,Les Corts,19,les Corts,Castella-la Manxa,8
2016,4,Les Corts,20,la Maternitat i Sant Ramon,Castella-la Manxa,4
2016,4,Les Corts,21,Pedralbes,Castella-la Manxa,6
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Castella-la Manxa,0
2016,5,Sarrià-Sant Gervasi,23,Sarrià,Castella-la Manxa,2
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,Castella-la Manxa,1
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Castella-la Manxa,1
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Castella-la Manxa,2
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Castella-la Manxa,7
2016,6,Gràcia,28,Vallcarca i els Penitents,Castella-la Manxa,2
2016,6,Gràcia,29,el Coll,Castella-la Manxa,2
2016,6,Gràcia,30,la Salut,Castella-la Manxa,2
2016,6,Gràcia,31,la Vila de Gràcia,Castella-la Manxa,12
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Castella-la Manxa,8
2016,7,Horta-Guinardó,33,el Baix Guinardó,Castella-la Manxa,3
2016,7,Horta-Guinardó,34,Can Baró,Castella-la Manxa,8
2016,7,Horta-Guinardó,35,el Guinardó,Castella-la Manxa,8
2016,7,Horta-Guinardó,36,la Font d'en Fargues,Castella-la Manxa,1
2016,7,Horta-Guinardó,37,el Carmel,Castella-la Manxa,9
2016,7,Horta-Guinardó,38,la Teixonera,Castella-la Manxa,2
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,Castella-la Manxa,4
2016,7,Horta-Guinardó,40,Montbau,Castella-la Manxa,0
2016,7,Horta-Guinardó,41,la Vall d'Hebron,Castella-la Manxa,1
2016,7,Horta-Guinardó,42,la Clota,Castella-la Manxa,0
2016,7,Horta-Guinardó,43,Horta,Castella-la Manxa,3
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Castella-la Manxa,11
2016,8,Nou Barris,45,Porta,Castella-la Manxa,3
2016,8,Nou Barris,46,el Turó de la Peira,Castella-la Manxa,5
2016,8,Nou Barris,47,Can Peguera,Castella-la Manxa,1
2016,8,Nou Barris,48,la Guineueta,Castella-la Manxa,3
2016,8,Nou Barris,49,Canyelles,Castella-la Manxa,0
2016,8,Nou Barris,50,les Roquetes,Castella-la Manxa,2
2016,8,Nou Barris,51,Verdun,Castella-la Manxa,2
2016,8,Nou Barris,52,la Prosperitat,Castella-la Manxa,5
2016,8,Nou Barris,53,la Trinitat Nova,Castella-la Manxa,1
2016,8,Nou Barris,54,Torre Baró,Castella-la Manxa,0
2016,8,Nou Barris,55,Ciutat Meridiana,Castella-la Manxa,3
2016,8,Nou Barris,56,Vallbona,Castella-la Manxa,0
2016,9,Sant Andreu,57,la Trinitat Vella,Castella-la Manxa,3
2016,9,Sant Andreu,58,Baró de Viver,Castella-la Manxa,0
2016,9,Sant Andreu,59,el Bon Pastor,Castella-la Manxa,6
2016,9,Sant Andreu,60,Sant Andreu,Castella-la Manxa,15
2016,9,Sant Andreu,61,la Sagrera,Castella-la Manxa,8
2016,9,Sant Andreu,62,el Congrés i els Indians,Castella-la Manxa,3
2016,9,Sant Andreu,63,Navas,Castella-la Manxa,0
2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,Castella-la Manxa,10
2016,10,Sant Martí,65,el Clot,Castella-la Manxa,4
2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Castella-la Manxa,2
2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,Castella-la Manxa,0
2016,10,Sant Martí,68,el Poblenou,Castella-la Manxa,10
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Castella-la Manxa,2
2016,10,Sant Martí,70,el Besòs i el Maresme,Castella-la Manxa,17
2016,10,Sant Martí,71,Provençals del Poblenou,Castella-la Manxa,5
2016,10,Sant Martí,72,Sant Martí de Provençals,Castella-la Manxa,8
2016,10,Sant Martí,73,la Verneda i la Pau,Castella-la Manxa,8
2016,99,No consta,99,No consta,Castella-la Manxa,0
2016,1,Ciutat Vella,1,el Raval,Catalunya,1194
2016,1,Ciutat Vella,2,el Barri Gòtic,Catalunya,439
2016,1,Ciutat Vella,3,la Barceloneta,Catalunya,322
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Catalunya,439
2016,2,Eixample,5,el Fort Pienc,Catalunya,535
2016,2,Eixample,6,la Sagrada Família,Catalunya,885
2016,2,Eixample,7,la Dreta de l'Eixample,Catalunya,687
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Catalunya,720
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,Catalunya,1014
2016,2,Eixample,10,Sant Antoni,Catalunya,560
2016,3,Sants-Montjuïc,11,el Poble Sec,Catalunya,770
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Catalunya,21
2016,3,Sants-Montjuïc,13,la Marina de Port,Catalunya,601
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,Catalunya,200
2016,3,Sants-Montjuïc,15,Hostafrancs,Catalunya,321
2016,3,Sants-Montjuïc,16,la Bordeta,Catalunya,434
2016,3,Sants-Montjuïc,17,Sants - Badal,Catalunya,637
2016,3,Sants-Montjuïc,18,Sants,Catalunya,874
2016,4,Les Corts,19,les Corts,Catalunya,780
2016,4,Les Corts,20,la Maternitat i Sant Ramon,Catalunya,491
2016,4,Les Corts,21,Pedralbes,Catalunya,203
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Catalunya,91
2016,5,Sarrià-Sant Gervasi,23,Sarrià,Catalunya,406
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,Catalunya,223
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Catalunya,400
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Catalunya,699
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Catalunya,463
2016,6,Gràcia,28,Vallcarca i els Penitents,Catalunya,257
2016,6,Gràcia,29,el Coll,Catalunya,111
2016,6,Gràcia,30,la Salut,Catalunya,176
2016,6,Gràcia,31,la Vila de Gràcia,Catalunya,797
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Catalunya,492
2016,7,Horta-Guinardó,33,el Baix Guinardó,Catalunya,377
2016,7,Horta-Guinardó,34,Can Baró,Catalunya,149
2016,7,Horta-Guinardó,35,el Guinardó,Catalunya,602
2016,7,Horta-Guinardó,36,la Font d'en Fargues,Catalunya,100
2016,7,Horta-Guinardó,37,el Carmel,Catalunya,410
2016,7,Horta-Guinardó,38,la Teixonera,Catalunya,224
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,Catalunya,127
2016,7,Horta-Guinardó,40,Montbau,Catalunya,69
2016,7,Horta-Guinardó,41,la Vall d'Hebron,Catalunya,81
2016,7,Horta-Guinardó,42,la Clota,Catalunya,9
2016,7,Horta-Guinardó,43,Horta,Catalunya,412
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Catalunya,400
2016,8,Nou Barris,45,Porta,Catalunya,496
2016,8,Nou Barris,46,el Turó de la Peira,Catalunya,269
2016,8,Nou Barris,47,Can Peguera,Catalunya,39
2016,8,Nou Barris,48,la Guineueta,Catalunya,232
2016,8,Nou Barris,49,Canyelles,Catalunya,72
2016,8,Nou Barris,50,les Roquetes,Catalunya,340
2016,8,Nou Barris,51,Verdun,Catalunya,205
2016,8,Nou Barris,52,la Prosperitat,Catalunya,417
2016,8,Nou Barris,53,la Trinitat Nova,Catalunya,160
2016,8,Nou Barris,54,Torre Baró,Catalunya,61
2016,8,Nou Barris,55,Ciutat Meridiana,Catalunya,261
2016,8,Nou Barris,56,Vallbona,Catalunya,48
2016,9,Sant Andreu,57,la Trinitat Vella,Catalunya,242
2016,9,Sant Andreu,58,Baró de Viver,Catalunya,53
2016,9,Sant Andreu,59,el Bon Pastor,Catalunya,254
2016,9,Sant Andreu,60,Sant Andreu,Catalunya,851
2016,9,Sant Andreu,61,la Sagrera,Catalunya,495
2016,9,Sant Andreu,62,el Congrés i els Indians,Catalunya,208
2016,9,Sant Andreu,63,Navas,Catalunya,357
2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,Catalunya,613
2016,10,Sant Martí,65,el Clot,Catalunya,410
2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Catalunya,200
2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,Catalunya,105
2016,10,Sant Martí,68,el Poblenou,Catalunya,511
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Catalunya,177
